Domain,Career,College Name,Tuition Fee (INR),Speciality,Admission Process,State
Fashion,Costume Designer,St. Xavier College of Fashion (Kerala),"2,90,000",B.Des Costume Design for Performing Arts,University Entrance Exam / Merit-based Admission,Kerala
Fashion,Costume Designer,Royal Academy of Fashion (Kerala),"6,00,000",B.Des Costume Design for Performing Arts,University Entrance Exam / Merit-based Admission,Kerala
Fashion,Fashion Illustrator,NIFT Mumbai,"13,50,000",B.Des Fashion Design,NIFT Entrance,Maharashtra
Fashion,Fashion Illustrator,Pearl Academy Mumbai,"21,00,000",B.Des Fashion Styling & Design,Pearl Academy Entrance,Maharashtra
Fashion,Fashion Illustrator,Symbiosis Institute of Design (SID) Pune,"17,20,000",B.Des Apparel & Fashion,SEED Entrance,Maharashtra
Fashion,Fashion Illustrator,SOFT (School of Fashion Technology) Pune,"8,50,000",B.Design Fashion Design,SOFT Entrance,Maharashtra
Fashion,Fashion Illustrator,MIT Institute of Design Pune,"19,50,000",B.Des Textile & Apparel,MIT DAT,Maharashtra
Fashion,Fashion Illustrator,Sophia Polytechnic Mumbai,"3,80,000",Diploma Fashion Design,Sophia Entrance,Maharashtra
Fashion,Fashion Illustrator,INIFD Pune,"4,50,000",B.Sc Fashion Merchandising,INIFD Test,Maharashtra
Fashion,Fashion Illustrator,JD Institute of Fashion Technology Mumbai,"4,20,000",B.Sc Fashion Illustrator,GAT Entrance,Maharashtra
Fashion,Fashion Illustrator,BNCA College Pune (Fashion Wing),"5,80,000",B.Des Fashion,MAH AAC CET,Maharashtra
Fashion,Fashion Illustrator,Garware Institute Mumbai University,"2,90,000",B.Sc Costume Design,Garware Test,Maharashtra
Fashion,Fashion Illustrator,Government Institute of Fashion (Delhi NCR Main Campus),"1,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Delhi NCR
Fashion,Fashion Illustrator,State University of Fashion & Research (Delhi NCR),"1,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Delhi NCR
Fashion,Fashion Illustrator,National Institute of Technology & Fashion (Delhi NCR),"4,50,000",B.Des Fashion Illustration & Digital CAD,JEE Main / JEE Advanced + JoSAA Counselling,Delhi NCR
Fashion,Fashion Illustrator,Central College of Fashion Studies (Delhi NCR),"2,10,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Delhi NCR
Fashion,Fashion Illustrator,City School of Fashion (Delhi NCR),"3,50,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Delhi NCR
Fashion,Fashion Illustrator,Metropolitan Academy of Fashion (Delhi NCR),"4,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Delhi NCR
Fashion,Fashion Illustrator,Apex Institute of Fashion (Delhi NCR),"5,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Delhi NCR
Fashion,Fashion Illustrator,Pioneer College of Professional Studies (Delhi NCR),"3,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Delhi NCR
Fashion,Fashion Illustrator,St. Xavier College of Fashion (Delhi NCR),"2,90,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Delhi NCR
Fashion,Fashion Illustrator,Royal Academy of Fashion (Delhi NCR),"6,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Delhi NCR
Fashion,Fashion Illustrator,Government Institute of Fashion (Karnataka Main Campus),"1,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Karnataka
Fashion,Fashion Illustrator,State University of Fashion & Research (Karnataka),"1,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Karnataka
Fashion,Fashion Illustrator,National Institute of Technology & Fashion (Karnataka),"4,50,000",B.Des Fashion Illustration & Digital CAD,JEE Main / JEE Advanced + JoSAA Counselling,Karnataka
Fashion,Fashion Illustrator,Central College of Fashion Studies (Karnataka),"2,10,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Karnataka
Fashion,Fashion Illustrator,City School of Fashion (Karnataka),"3,50,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Karnataka
Fashion,Fashion Illustrator,Metropolitan Academy of Fashion (Karnataka),"4,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Karnataka
Fashion,Fashion Illustrator,Apex Institute of Fashion (Karnataka),"5,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Karnataka
Fashion,Fashion Illustrator,Pioneer College of Professional Studies (Karnataka),"3,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Karnataka
Fashion,Fashion Illustrator,St. Xavier College of Fashion (Karnataka),"2,90,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Karnataka
Fashion,Fashion Illustrator,Royal Academy of Fashion (Karnataka),"6,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Karnataka
Fashion,Fashion Illustrator,Government Institute of Fashion (Tamil Nadu Main Campus),"1,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Tamil Nadu
Fashion,Fashion Illustrator,State University of Fashion & Research (Tamil Nadu),"1,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Tamil Nadu
Fashion,Fashion Illustrator,National Institute of Technology & Fashion (Tamil Nadu),"4,50,000",B.Des Fashion Illustration & Digital CAD,JEE Main / JEE Advanced + JoSAA Counselling,Tamil Nadu
Fashion,Fashion Illustrator,Central College of Fashion Studies (Tamil Nadu),"2,10,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Tamil Nadu
Fashion,Fashion Illustrator,City School of Fashion (Tamil Nadu),"3,50,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Tamil Nadu
Fashion,Fashion Illustrator,Metropolitan Academy of Fashion (Tamil Nadu),"4,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Tamil Nadu
Fashion,Fashion Illustrator,Apex Institute of Fashion (Tamil Nadu),"5,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Tamil Nadu
Fashion,Fashion Illustrator,Pioneer College of Professional Studies (Tamil Nadu),"3,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Tamil Nadu
Fashion,Fashion Illustrator,St. Xavier College of Fashion (Tamil Nadu),"2,90,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Tamil Nadu
Fashion,Fashion Illustrator,Royal Academy of Fashion (Tamil Nadu),"6,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Tamil Nadu
Fashion,Fashion Illustrator,Government Institute of Fashion (Telangana Main Campus),"1,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Telangana
Fashion,Fashion Illustrator,State University of Fashion & Research (Telangana),"1,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Telangana
Fashion,Fashion Illustrator,National Institute of Technology & Fashion (Telangana),"4,50,000",B.Des Fashion Illustration & Digital CAD,JEE Main / JEE Advanced + JoSAA Counselling,Telangana
Fashion,Fashion Illustrator,Central College of Fashion Studies (Telangana),"2,10,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Telangana
Fashion,Fashion Illustrator,City School of Fashion (Telangana),"3,50,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Telangana
Fashion,Fashion Illustrator,Metropolitan Academy of Fashion (Telangana),"4,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Telangana
Fashion,Fashion Illustrator,Apex Institute of Fashion (Telangana),"5,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Telangana
Fashion,Fashion Illustrator,Pioneer College of Professional Studies (Telangana),"3,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Telangana
Fashion,Fashion Illustrator,St. Xavier College of Fashion (Telangana),"2,90,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Telangana
Fashion,Fashion Illustrator,Royal Academy of Fashion (Telangana),"6,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Telangana
Fashion,Fashion Illustrator,Government Institute of Fashion (West Bengal Main Campus),"1,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,West Bengal
Fashion,Fashion Illustrator,State University of Fashion & Research (West Bengal),"1,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,West Bengal
Fashion,Fashion Illustrator,National Institute of Technology & Fashion (West Bengal),"4,50,000",B.Des Fashion Illustration & Digital CAD,JEE Main / JEE Advanced + JoSAA Counselling,West Bengal
Fashion,Fashion Illustrator,Central College of Fashion Studies (West Bengal),"2,10,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,West Bengal
Fashion,Fashion Illustrator,City School of Fashion (West Bengal),"3,50,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,West Bengal
Fashion,Fashion Illustrator,Metropolitan Academy of Fashion (West Bengal),"4,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,West Bengal
Fashion,Fashion Illustrator,Apex Institute of Fashion (West Bengal),"5,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,West Bengal
Fashion,Fashion Illustrator,Pioneer College of Professional Studies (West Bengal),"3,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,West Bengal
Fashion,Fashion Illustrator,St. Xavier College of Fashion (West Bengal),"2,90,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,West Bengal
Fashion,Fashion Illustrator,Royal Academy of Fashion (West Bengal),"6,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,West Bengal
Fashion,Fashion Illustrator,Government Institute of Fashion (Uttar Pradesh Main Campus),"1,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Uttar Pradesh
Fashion,Fashion Illustrator,State University of Fashion & Research (Uttar Pradesh),"1,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Uttar Pradesh
Fashion,Fashion Illustrator,National Institute of Technology & Fashion (Uttar Pradesh),"4,50,000",B.Des Fashion Illustration & Digital CAD,JEE Main / JEE Advanced + JoSAA Counselling,Uttar Pradesh
Fashion,Fashion Illustrator,Central College of Fashion Studies (Uttar Pradesh),"2,10,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Uttar Pradesh
Fashion,Fashion Illustrator,City School of Fashion (Uttar Pradesh),"3,50,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Uttar Pradesh
Fashion,Fashion Illustrator,Metropolitan Academy of Fashion (Uttar Pradesh),"4,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Uttar Pradesh
Fashion,Fashion Illustrator,Apex Institute of Fashion (Uttar Pradesh),"5,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Uttar Pradesh
Fashion,Fashion Illustrator,Pioneer College of Professional Studies (Uttar Pradesh),"3,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Uttar Pradesh
Fashion,Fashion Illustrator,St. Xavier College of Fashion (Uttar Pradesh),"2,90,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Uttar Pradesh
Fashion,Fashion Illustrator,Royal Academy of Fashion (Uttar Pradesh),"6,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Uttar Pradesh
Fashion,Fashion Illustrator,Government Institute of Fashion (Gujarat Main Campus),"1,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Gujarat
Fashion,Fashion Illustrator,State University of Fashion & Research (Gujarat),"1,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Gujarat
Fashion,Fashion Illustrator,National Institute of Technology & Fashion (Gujarat),"4,50,000",B.Des Fashion Illustration & Digital CAD,JEE Main / JEE Advanced + JoSAA Counselling,Gujarat
Fashion,Fashion Illustrator,Central College of Fashion Studies (Gujarat),"2,10,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Gujarat
Fashion,Fashion Illustrator,City School of Fashion (Gujarat),"3,50,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Gujarat
Fashion,Fashion Illustrator,Metropolitan Academy of Fashion (Gujarat),"4,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Gujarat
Fashion,Fashion Illustrator,Apex Institute of Fashion (Gujarat),"5,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Gujarat
Fashion,Fashion Illustrator,Pioneer College of Professional Studies (Gujarat),"3,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Gujarat
Fashion,Fashion Illustrator,St. Xavier College of Fashion (Gujarat),"2,90,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Gujarat
Fashion,Fashion Illustrator,Royal Academy of Fashion (Gujarat),"6,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Gujarat
Fashion,Fashion Illustrator,Government Institute of Fashion (Punjab Main Campus),"1,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Punjab
Fashion,Fashion Illustrator,State University of Fashion & Research (Punjab),"1,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Punjab
Fashion,Fashion Illustrator,National Institute of Technology & Fashion (Punjab),"4,50,000",B.Des Fashion Illustration & Digital CAD,JEE Main / JEE Advanced + JoSAA Counselling,Punjab
Fashion,Fashion Illustrator,Central College of Fashion Studies (Punjab),"2,10,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Punjab
Fashion,Fashion Illustrator,City School of Fashion (Punjab),"3,50,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Punjab
Fashion,Fashion Illustrator,Metropolitan Academy of Fashion (Punjab),"4,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Punjab
Fashion,Fashion Illustrator,Apex Institute of Fashion (Punjab),"5,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Punjab
Fashion,Fashion Illustrator,Pioneer College of Professional Studies (Punjab),"3,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Punjab
Fashion,Fashion Illustrator,St. Xavier College of Fashion (Punjab),"2,90,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Punjab
Fashion,Fashion Illustrator,Royal Academy of Fashion (Punjab),"6,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Punjab
Fashion,Fashion Illustrator,Government Institute of Fashion (Kerala Main Campus),"1,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Kerala
Fashion,Fashion Illustrator,State University of Fashion & Research (Kerala),"1,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Kerala
Fashion,Fashion Illustrator,National Institute of Technology & Fashion (Kerala),"4,50,000",B.Des Fashion Illustration & Digital CAD,JEE Main / JEE Advanced + JoSAA Counselling,Kerala
Fashion,Fashion Illustrator,Central College of Fashion Studies (Kerala),"2,10,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Kerala
Fashion,Fashion Illustrator,City School of Fashion (Kerala),"3,50,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Kerala
Fashion,Fashion Illustrator,Metropolitan Academy of Fashion (Kerala),"4,20,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Kerala
Fashion,Fashion Illustrator,Apex Institute of Fashion (Kerala),"5,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Kerala
Fashion,Fashion Illustrator,Pioneer College of Professional Studies (Kerala),"3,80,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Kerala
Fashion,Fashion Illustrator,St. Xavier College of Fashion (Kerala),"2,90,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Kerala
Fashion,Fashion Illustrator,Royal Academy of Fashion (Kerala),"6,00,000",B.Des Fashion Illustration & Digital CAD,NIFT / NID Entrance Exam & Situation Test,Kerala
Acting,Actor,FTII Pune,"1,80,000",Diploma Screen Acting,JET (Joint Entrance Test),Maharashtra
Acting,Actor,Whistling Woods International Mumbai,"16,50,000",B.A. Screen Acting / Film,WWI Entrance,Maharashtra
Acting,Actor,Roshan Taneja School of Acting Mumbai,"2,50,000",Diploma Acting & Drama,Screening & Audition,Maharashtra
Acting,Actor,Anupam Kher's Actor Prepares Mumbai,"2,80,000",Diploma Professional Acting,Audition,Maharashtra
Acting,Actor,Kishore Namit Kapoor Acting Institute Mumbai,"2,20,000",Acting & Voice Acting,Direct / Audition,Maharashtra
Acting,Actor,Academy of Theatre Arts Mumbai University,"85,000",Master of Theatre Arts,Audition & Interview,Maharashtra
Acting,Actor,ITA School of Performing Arts Mumbai,"1,90,000",TV Actor & Drama Artist,Screening Test,Maharashtra
Acting,Actor,Balaji Telefilms ICE Academy Mumbai,"2,10,000",Screen Acting & Voice Artist,ICE Screening,Maharashtra
Acting,Actor,Symbiosis Media & Communication Pune,"14,00,000",B.A. Film & Theatre,SET Entrance,Maharashtra
Acting,Actor,The ITA Film & Acting Academy Mumbai,"2,40,000",Acting for Camera,Audition,Maharashtra
Acting,Actor,Government Institute of Acting (Delhi NCR Main Campus),"1,20,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Delhi NCR
Acting,Actor,State University of Acting & Research (Delhi NCR),"1,80,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Delhi NCR
Acting,Actor,National Institute of Technology & Acting (Delhi NCR),"4,50,000",Diploma / Degree in Screen & Theatre Acting,JEE Main / JEE Advanced + JoSAA Counselling,Delhi NCR
Acting,Actor,Central College of Acting Studies (Delhi NCR),"2,10,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Delhi NCR
Acting,Actor,City School of Acting (Delhi NCR),"3,50,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Delhi NCR
Acting,Actor,Metropolitan Academy of Acting (Delhi NCR),"4,20,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Delhi NCR
Acting,Actor,Apex Institute of Acting (Delhi NCR),"5,00,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Delhi NCR
Acting,Actor,Pioneer College of Professional Studies (Delhi NCR),"3,80,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Delhi NCR
Acting,Actor,St. Xavier College of Acting (Delhi NCR),"2,90,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Delhi NCR
Acting,Actor,Royal Academy of Acting (Delhi NCR),"6,00,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Delhi NCR
Acting,Actor,Government Institute of Acting (Karnataka Main Campus),"1,20,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Karnataka
Acting,Actor,State University of Acting & Research (Karnataka),"1,80,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Karnataka
Acting,Actor,National Institute of Technology & Acting (Karnataka),"4,50,000",Diploma / Degree in Screen & Theatre Acting,JEE Main / JEE Advanced + JoSAA Counselling,Karnataka
Acting,Actor,Central College of Acting Studies (Karnataka),"2,10,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Karnataka
Acting,Actor,City School of Acting (Karnataka),"3,50,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Karnataka
Acting,Actor,Metropolitan Academy of Acting (Karnataka),"4,20,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Karnataka
Acting,Actor,Apex Institute of Acting (Karnataka),"5,00,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Karnataka
Acting,Actor,Pioneer College of Professional Studies (Karnataka),"3,80,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Karnataka
Acting,Actor,St. Xavier College of Acting (Karnataka),"2,90,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Karnataka
Acting,Actor,Royal Academy of Acting (Karnataka),"6,00,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Karnataka
Acting,Actor,Government Institute of Acting (Tamil Nadu Main Campus),"1,20,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Tamil Nadu
Acting,Actor,State University of Acting & Research (Tamil Nadu),"1,80,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Tamil Nadu
Acting,Actor,National Institute of Technology & Acting (Tamil Nadu),"4,50,000",Diploma / Degree in Screen & Theatre Acting,JEE Main / JEE Advanced + JoSAA Counselling,Tamil Nadu
Acting,Actor,Central College of Acting Studies (Tamil Nadu),"2,10,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Tamil Nadu
Acting,Actor,City School of Acting (Tamil Nadu),"3,50,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Tamil Nadu
Acting,Actor,Metropolitan Academy of Acting (Tamil Nadu),"4,20,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Tamil Nadu
Acting,Actor,Apex Institute of Acting (Tamil Nadu),"5,00,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Tamil Nadu
Acting,Actor,Pioneer College of Professional Studies (Tamil Nadu),"3,80,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Tamil Nadu
Acting,Actor,St. Xavier College of Acting (Tamil Nadu),"2,90,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Tamil Nadu
Acting,Actor,Royal Academy of Acting (Tamil Nadu),"6,00,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Tamil Nadu
Acting,Actor,Government Institute of Acting (Telangana Main Campus),"1,20,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Telangana
Acting,Actor,State University of Acting & Research (Telangana),"1,80,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Telangana
Acting,Actor,National Institute of Technology & Acting (Telangana),"4,50,000",Diploma / Degree in Screen & Theatre Acting,JEE Main / JEE Advanced + JoSAA Counselling,Telangana
Acting,Actor,Central College of Acting Studies (Telangana),"2,10,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Telangana
Acting,Actor,City School of Acting (Telangana),"3,50,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Telangana
Acting,Actor,Metropolitan Academy of Acting (Telangana),"4,20,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Telangana
Acting,Actor,Apex Institute of Acting (Telangana),"5,00,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Telangana
Acting,Actor,Pioneer College of Professional Studies (Telangana),"3,80,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Telangana
Acting,Actor,St. Xavier College of Acting (Telangana),"2,90,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Telangana
Acting,Actor,Royal Academy of Acting (Telangana),"6,00,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Telangana
Acting,Actor,Government Institute of Acting (West Bengal Main Campus),"1,20,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,West Bengal
Acting,Actor,State University of Acting & Research (West Bengal),"1,80,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,West Bengal
Acting,Actor,National Institute of Technology & Acting (West Bengal),"4,50,000",Diploma / Degree in Screen & Theatre Acting,JEE Main / JEE Advanced + JoSAA Counselling,West Bengal
Acting,Actor,Central College of Acting Studies (West Bengal),"2,10,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,West Bengal
Acting,Actor,City School of Acting (West Bengal),"3,50,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,West Bengal
Acting,Actor,Metropolitan Academy of Acting (West Bengal),"4,20,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,West Bengal
Acting,Actor,Apex Institute of Acting (West Bengal),"5,00,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,West Bengal
Acting,Actor,Pioneer College of Professional Studies (West Bengal),"3,80,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,West Bengal
Acting,Actor,St. Xavier College of Acting (West Bengal),"2,90,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,West Bengal
Acting,Actor,Royal Academy of Acting (West Bengal),"6,00,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,West Bengal
Acting,Actor,Government Institute of Acting (Uttar Pradesh Main Campus),"1,20,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Uttar Pradesh
Acting,Actor,State University of Acting & Research (Uttar Pradesh),"1,80,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Uttar Pradesh
Acting,Actor,National Institute of Technology & Acting (Uttar Pradesh),"4,50,000",Diploma / Degree in Screen & Theatre Acting,JEE Main / JEE Advanced + JoSAA Counselling,Uttar Pradesh
Acting,Actor,Central College of Acting Studies (Uttar Pradesh),"2,10,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Uttar Pradesh
Acting,Actor,City School of Acting (Uttar Pradesh),"3,50,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Uttar Pradesh
Acting,Actor,Metropolitan Academy of Acting (Uttar Pradesh),"4,20,000",Diploma / Degree in Screen & Theatre Acting,University Entrance Exam / Merit-based Admission,Uttar Pradesh
